Statystyki dlugosci sciezek

Wszystkich tagow: 504940192
subst	1	71157
subst	2	5786957
subst	3	14477198
subst	4	27379947
subst	5	36191081
subst	6	36315815
subst	7	24691025
subst	8	15316595
subst	9	12393116
subst	10	9039425
subst	11	4771005
subst	12	3085126
subst	13	882413
subst	14	900662
subst	15	304503
subst	16	47582
subst	17	126529
subst	18	19401
subst	19	770
subst	20	9
depr	3	24738
depr	4	98994
depr	5	158950
depr	6	196976
depr	7	237280
depr	8	131864
depr	9	80092
depr	10	46452
depr	11	15446
depr	12	7742
depr	13	9534
depr	14	194
depr	15	138
depr	16	10
adj	1	27
adj	2	5288622
adj	3	11901729
adj	4	18187386
adj	5	28792669
adj	6	30845005
adj	7	30527994
adj	8	26232026
adj	9	21820792
adj	10	15223349
adj	11	11560700
adj	12	6261148
adj	13	3787378
adj	14	1515652
adj	15	928568
adj	16	244503
adj	17	112364
adj	18	18373
adj	19	29941
adj	20	512
adj	21	220
adj	22	138
adjp	3	42
adjp	4	643
adjp	5	20772
adjp	6	47584
adjp	7	1369
adjp	8	321
adjp	9	124
adjp	10	4
adjp	12	1
adjp	13	30
adjp	14	1
adv	2	37240
adv	3	648172
adv	4	526297
adv	5	828269
adv	6	767065
adv	7	575312
adv	8	709366
adv	9	302894
adv	10	225417
adv	11	127744
adv	12	52751
adv	13	6649
adv	14	40868
adv	15	616
adv	16	91
fin	2	1050134
fin	3	259937
fin	4	3185423
fin	5	1797661
fin	6	2027344
fin	7	1609600
fin	8	1223579
fin	9	535622
fin	10	222440
fin	11	78279
fin	12	12250
fin	13	1983
fin	14	453
fin	15	270
fin	16	43
fin	17	1
praet	2	45
praet	3	1216621
praet	4	2581045
praet	5	2455532
praet	6	4212075
praet	7	4045773
praet	8	2960218
praet	9	1774949
praet	10	1089848
praet	11	421750
praet	12	199180
praet	13	59744
praet	14	10712
praet	15	5040
praet	16	691
praet	17	437
praet	18	168
impt	1	257
impt	2	8199
impt	3	622325
impt	4	571703
impt	5	343041
impt	6	103751
impt	7	92234
impt	8	28474
impt	9	19818
impt	10	5237
impt	11	1251
impt	12	305
impt	13	41
impt	14	4
impt	15	3
impt	16	1
imps	3	26
imps	4	7075
imps	5	48274
imps	6	69011
imps	7	126744
imps	8	147594
imps	9	151020
imps	10	107394
imps	11	47109
imps	12	20271
imps	13	7127
imps	14	1621
imps	15	645
imps	16	137
imps	17	113
inf	2	9
inf	3	346582
inf	4	219938
inf	5	307743
inf	6	621680
inf	7	621614
inf	8	550093
inf	9	245456
inf	10	205158
inf	11	63039
inf	12	29101
inf	13	9046
inf	14	1713
inf	15	950
inf	16	116
inf	17	66
pcon	2	7
pcon	3	3713
pcon	4	32862
pcon	5	67767
pcon	6	62385
pcon	7	75107
pcon	8	89198
pcon	9	76564
pcon	10	68600
pcon	11	19292
pcon	12	12291
pcon	13	724
pcon	14	115
pcon	15	62
pant	5	14
pant	6	217
pant	7	1232
pant	8	1624
pant	9	9818
pant	10	2591
pant	11	1267
pant	12	646
pant	13	538
pant	14	47
pant	15	10
ger	4	353
ger	5	273402
ger	6	755166
ger	7	1053378
ger	8	1394440
ger	9	1855301
ger	10	2104532
ger	11	1235905
ger	12	1007843
ger	13	345662
ger	14	239516
ger	15	117776
ger	16	14860
ger	17	1885
ger	18	616
ger	19	106
ger	20	12
pact	3	22
pact	4	43973
pact	5	148491
pact	6	882709
pact	7	1002823
pact	8	1918553
pact	9	1480997
pact	10	2445617
pact	11	1763525
pact	12	1724128
pact	13	804730
pact	14	540857
pact	15	264223
pact	16	140300
pact	17	16054
pact	18	1693
pact	19	2810
pact	20	173
pact	21	25
pact	22	10
ppas	3	107
ppas	4	395455
ppas	5	1236881
ppas	6	2068060
ppas	7	3380741
ppas	8	4644534
ppas	9	5447220
ppas	10	4577360
ppas	11	4225706
ppas	12	2166856
ppas	13	1521417
ppas	14	795768
ppas	15	333238
ppas	16	187270
ppas	17	30796
ppas	18	17237
ppas	19	1989
ppas	20	579
ppas	21	401
